time,time_preload,format,i,fpp,extra_size
873,557,parquet,0,0.0001,243271024
610,424,parquet,0,0.001,121636208
622,413,parquet,0,0.01,121636208
508,349,parquet,0,0.05,60818800
510,341,parquet,0,0.1,60818800
525,341,parquet,0,0.2,60818800
393.159,226.996,orc,0,0.0001,144090946
273.971,126.44,orc,0,0.001,108083414
237.06199999999998,67.7894,orc,0,0.01,72063928
342.121,74.68719999999999,orc,0,0.05,46921214
425.688,103.337,orc,0,0.1,36056164
398.749,142.12900000000002,orc,0,0.2,25239630
870,552,parquet,1,0.0001,243271024
619,411,parquet,1,0.001,121636208
629,418,parquet,1,0.01,121636208
514,345,parquet,1,0.05,60818800
514,385,parquet,1,0.1,60818800
514,341,parquet,1,0.2,60818800
400.5,221.81400000000002,orc,1,0.0001,144090946
276.57,127.92200000000001,orc,1,0.001,108083414
248.475,69.0403,orc,1,0.01,72063928
350.954,75.2032,orc,1,0.05,46921214
425.339,103.622,orc,1,0.1,36056164
391.548,144.392,orc,1,0.2,25239630
834,557,parquet,2,0.0001,243271024
611,411,parquet,2,0.001,121636208
619,410,parquet,2,0.01,121636208
512,342,parquet,2,0.05,60818800
530,340,parquet,2,0.1,60818800
507,341,parquet,2,0.2,60818800
400.671,222.055,orc,2,0.0001,144090946
275.437,126.533,orc,2,0.001,108083414
254.32900000000004,69.3206,orc,2,0.01,72063928
348.122,75.3399,orc,2,0.05,46921214
417.32399999999996,101.801,orc,2,0.1,36056164
399.594,144.05599999999998,orc,2,0.2,25239630
