workload,i,file,size,read_time,read_time_preload,compression
int,0,parquet,10858567,0.136132,0.101983,snappy
int,0,orc,13277462,0.246552,0.193701,snappy
float,0,parquet,48512158,0.215792,0.141603,snappy
float,0,orc,87934790,0.757769,0.725107,snappy
string,0,parquet,101147459,0.428113,0.38673,snappy
string,0,orc,96088108,0.467309,0.396802,snappy
int,0,parquet,9564061,0.14325,0.110664,zstd
int,0,orc,10464908,0.167695,0.155285,zstd
float,0,parquet,44909630,0.242081,0.211925,zstd
float,0,orc,77437187,0.308302,0.282769,zstd
string,0,parquet,81438442,0.477588,0.421274,zstd
string,0,orc,73600342,0.499473,0.439469,zstd
int,0,parquet,10846868,0.139606,0.113604,lz4
int,0,orc,16248183,0.151641,0.137081,lz4
float,0,parquet,48822116,0.186015,0.150308,lz4
float,0,orc,147346638,0.281975,0.0957107,lz4
string,0,parquet,102289141,0.414466,0.36479,lz4
string,0,orc,97105402,0.423962,0.350392,lz4
int,0,parquet,12681003,0.127981,0.110714,none
int,0,orc,16240763,0.151903,0.13044,none
float,0,parquet,49772320,0.175759,0.139926,none
float,0,orc,147332204,0.159807,0.0938083,none
string,0,parquet,104379059,0.337608,0.288296,none
string,0,orc,97094073,0.425697,0.339621,none
int,1,parquet,10858567,0.133815,0.119877,snappy
int,1,orc,13277462,0.204115,0.228417,snappy
float,1,parquet,48512158,0.19246,0.162936,snappy
float,1,orc,87934790,0.757169,0.714703,snappy
string,1,parquet,101147459,0.429634,0.389131,snappy
string,1,orc,96088108,0.502639,0.403253,snappy
int,1,parquet,9564061,0.157617,0.141054,zstd
int,1,orc,10464908,0.168827,0.156205,zstd
float,1,parquet,44909630,0.245713,0.217221,zstd
float,1,orc,77437187,0.313132,0.271065,zstd
string,1,parquet,81438442,0.489483,0.436851,zstd
string,1,orc,73600342,0.524671,0.463439,zstd
int,1,parquet,10846868,0.129486,0.0964064,lz4
int,1,orc,16248183,0.152394,0.135153,lz4
float,1,parquet,48822116,0.1856,0.149143,lz4
float,1,orc,147346638,0.155365,0.0962831,lz4
string,1,parquet,102289141,0.432491,0.372887,lz4
string,1,orc,97105402,0.434004,0.348313,lz4
int,1,parquet,12681003,0.125621,0.111512,none
int,1,orc,16240763,0.149885,0.132938,none
float,1,parquet,49772320,0.176475,0.147169,none
float,1,orc,147332204,0.154381,0.0938657,none
string,1,parquet,104379059,0.344213,0.298482,none
string,1,orc,97094073,0.420786,0.353573,none
int,2,parquet,10858567,0.140756,0.121015,snappy
int,2,orc,13277462,0.246768,0.214278,snappy
float,2,parquet,48512158,0.194114,0.182582,snappy
float,2,orc,87934790,0.798794,0.729406,snappy
string,2,parquet,101147459,0.447052,0.380198,snappy
string,2,orc,96088108,0.473596,0.386794,snappy
int,2,parquet,9564061,0.143253,0.127266,zstd
int,2,orc,10464908,0.169574,0.194503,zstd
float,2,parquet,44909630,0.241263,0.212185,zstd
float,2,orc,77437187,0.316092,0.268558,zstd
string,2,parquet,81438442,0.521225,0.452116,zstd
string,2,orc,73600342,0.520647,0.462804,zstd
int,2,parquet,10846868,0.144506,0.183352,lz4
int,2,orc,16248183,0.155015,0.136159,lz4
float,2,parquet,48822116,0.185297,0.156074,lz4
float,2,orc,147346638,0.157065,0.0973865,lz4
string,2,parquet,102289141,0.425138,0.351276,lz4
string,2,orc,97105402,0.48907,0.354771,lz4
int,2,parquet,12681003,0.123687,0.109365,none
int,2,orc,16240763,0.150952,0.131215,none
float,2,parquet,49772320,0.167989,0.137693,none
float,2,orc,147332204,0.150762,0.0926596,none
string,2,parquet,104379059,0.35067,0.292547,none
string,2,orc,97094073,0.431381,0.382605,none
int,3,parquet,10858567,0.135209,0.11988,snappy
int,3,orc,13277462,0.204276,0.191472,snappy
float,3,parquet,48512158,0.193405,0.158259,snappy
float,3,orc,87934790,0.777199,0.706168,snappy
string,3,parquet,101147459,0.439871,0.39092,snappy
string,3,orc,96088108,0.473411,0.399306,snappy
int,3,parquet,9564061,0.146921,0.12871,zstd
int,3,orc,10464908,0.169266,0.156772,zstd
float,3,parquet,44909630,0.252568,0.212196,zstd
float,3,orc,77437187,0.308997,0.2683,zstd
string,3,parquet,81438442,0.479495,0.442573,zstd
string,3,orc,73600342,0.533145,0.479769,zstd
int,3,parquet,10846868,0.129528,0.120151,lz4
int,3,orc,16248183,0.155495,0.137916,lz4
float,3,parquet,48822116,0.187094,0.169048,lz4
float,3,orc,147346638,0.159509,0.0970083,lz4
string,3,parquet,102289141,0.4096,0.365087,lz4
string,3,orc,97105402,0.427802,0.35558,lz4
int,3,parquet,12681003,0.134501,0.114815,none
int,3,orc,16240763,0.147193,0.130321,none
float,3,parquet,49772320,0.168901,0.136443,none
float,3,orc,147332204,0.160639,0.093975,none
string,3,parquet,104379059,0.349506,0.293959,none
string,3,orc,97094073,0.416355,0.36061,none
int,4,parquet,10858567,0.134579,0.122527,snappy
int,4,orc,13277462,0.204,0.193184,snappy
float,4,parquet,48512158,0.190495,0.163559,snappy
float,4,orc,87934790,0.750893,0.736537,snappy
string,4,parquet,101147459,0.425491,0.38729,snappy
string,4,orc,96088108,0.476203,0.388697,snappy
int,4,parquet,9564061,0.148595,0.131484,zstd
int,4,orc,10464908,0.18715,0.15693,zstd
float,4,parquet,44909630,0.241607,0.207955,zstd
float,4,orc,77437187,0.310709,0.269602,zstd
string,4,parquet,81438442,0.596273,0.458645,zstd
string,4,orc,73600342,0.496957,0.446963,zstd
int,4,parquet,10846868,0.132007,0.114923,lz4
int,4,orc,16248183,0.154513,0.140322,lz4
float,4,parquet,48822116,0.188626,0.155339,lz4
float,4,orc,147346638,0.152966,0.0958468,lz4
string,4,parquet,102289141,0.414406,0.338882,lz4
string,4,orc,97105402,0.420868,0.339393,lz4
int,4,parquet,12681003,0.128719,0.112718,none
int,4,orc,16240763,0.148307,0.130051,none
float,4,parquet,49772320,0.212271,0.118912,none
float,4,orc,147332204,0.149087,0.0924434,none
string,4,parquet,104379059,0.333004,0.283777,none
string,4,orc,97094073,0.419375,0.333599,none
int,5,parquet,10858567,0.134716,0.119045,snappy
int,5,orc,13277462,0.204544,0.199618,snappy
float,5,parquet,48512158,0.188651,0.158143,snappy
float,5,orc,87934790,0.769286,0.715591,snappy
string,5,parquet,101147459,0.420178,0.378948,snappy
string,5,orc,96088108,0.458299,0.383222,snappy
int,5,parquet,9564061,0.141983,0.130029,zstd
int,5,orc,10464908,0.167263,0.162068,zstd
float,5,parquet,44909630,0.239233,0.208582,zstd
float,5,orc,77437187,0.306053,0.277554,zstd
string,5,parquet,81438442,0.473707,0.436675,zstd
string,5,orc,73600342,0.517083,0.436171,zstd
int,5,parquet,10846868,0.128965,0.12,lz4
int,5,orc,16248183,0.151156,0.133936,lz4
float,5,parquet,48822116,0.18616,0.151505,lz4
float,5,orc,147346638,0.166946,0.0970963,lz4
string,5,parquet,102289141,0.4041,0.336244,lz4
string,5,orc,97105402,0.412866,0.349892,lz4
int,5,parquet,12681003,0.125776,0.111264,none
int,5,orc,16240763,0.149666,0.130839,none
float,5,parquet,49772320,0.174487,0.122052,none
float,5,orc,147332204,0.163761,0.0919257,none
string,5,parquet,104379059,0.34335,0.29137,none
string,5,orc,97094073,0.405997,0.343216,none
int,6,parquet,10858567,0.132561,0.122072,snappy
int,6,orc,13277462,0.205165,0.192316,snappy
float,6,parquet,48512158,0.186393,0.139174,snappy
float,6,orc,87934790,0.762956,0.700985,snappy
string,6,parquet,101147459,0.423905,0.379772,snappy
string,6,orc,96088108,0.448808,0.387621,snappy
int,6,parquet,9564061,0.143535,0.132448,zstd
int,6,orc,10464908,0.180437,0.156461,zstd
float,6,parquet,44909630,0.241433,0.214781,zstd
float,6,orc,77437187,0.307711,0.268381,zstd
string,6,parquet,81438442,0.473015,0.417024,zstd
string,6,orc,73600342,0.505886,0.444682,zstd
int,6,parquet,10846868,0.127317,0.113449,lz4
int,6,orc,16248183,0.154048,0.134386,lz4
float,6,parquet,48822116,0.205773,0.138761,lz4
float,6,orc,147346638,0.176644,0.11844,lz4
string,6,parquet,102289141,0.57249,0.376125,lz4
string,6,orc,97105402,0.482336,0.403493,lz4
int,6,parquet,12681003,0.132778,0.117823,none
int,6,orc,16240763,0.148286,0.144613,none
float,6,parquet,49772320,0.173219,0.140731,none
float,6,orc,147332204,0.14908,0.0917424,none
string,6,parquet,104379059,0.354842,0.330166,none
string,6,orc,97094073,0.437811,0.362917,none
int,7,parquet,10858567,0.131557,0.118767,snappy
int,7,orc,13277462,0.212105,0.191832,snappy
float,7,parquet,48512158,0.189721,0.159157,snappy
float,7,orc,87934790,0.755147,0.705784,snappy
string,7,parquet,101147459,0.433238,0.371185,snappy
string,7,orc,96088108,0.477693,0.408706,snappy
int,7,parquet,9564061,0.14721,0.127218,zstd
int,7,orc,10464908,0.175035,0.160457,zstd
float,7,parquet,44909630,0.243527,0.211379,zstd
float,7,orc,77437187,0.346224,0.288388,zstd
string,7,parquet,81438442,0.49126,0.481342,zstd
string,7,orc,73600342,0.516316,0.455061,zstd
int,7,parquet,10846868,0.156254,0.0974689,lz4
int,7,orc,16248183,0.157788,0.144057,lz4
float,7,parquet,48822116,0.186387,0.150794,lz4
float,7,orc,147346638,0.156952,0.0967369,lz4
string,7,parquet,102289141,0.551293,0.350364,lz4
string,7,orc,97105402,0.449738,0.368688,lz4
int,7,parquet,12681003,0.12573,0.112184,none
int,7,orc,16240763,0.147548,0.129743,none
float,7,parquet,49772320,0.16656,0.11998,none
float,7,orc,147332204,0.147595,0.0906833,none
string,7,parquet,104379059,0.343559,0.291256,none
string,7,orc,97094073,0.426078,0.358884,none
int,8,parquet,10858567,0.134259,0.124827,snappy
int,8,orc,13277462,0.219294,0.204417,snappy
float,8,parquet,48512158,0.188723,0.158162,snappy
float,8,orc,87934790,0.753754,0.717139,snappy
string,8,parquet,101147459,0.432034,0.393529,snappy
string,8,orc,96088108,0.462577,0.387991,snappy
int,8,parquet,9564061,0.141316,0.127866,zstd
int,8,orc,10464908,0.167537,0.17263,zstd
float,8,parquet,44909630,0.24011,0.211791,zstd
float,8,orc,77437187,0.307484,0.271632,zstd
string,8,parquet,81438442,0.485906,0.411578,zstd
string,8,orc,73600342,0.51454,0.500293,zstd
int,8,parquet,10846868,0.135926,0.124493,lz4
int,8,orc,16248183,0.152056,0.134457,lz4
float,8,parquet,48822116,0.184274,0.148478,lz4
float,8,orc,147346638,0.163131,0.0988613,lz4
string,8,parquet,102289141,0.431849,0.355192,lz4
string,8,orc,97105402,0.434091,0.353485,lz4
int,8,parquet,12681003,0.123967,0.113834,none
int,8,orc,16240763,0.147663,0.131155,none
float,8,parquet,49772320,0.170798,0.137184,none
float,8,orc,147332204,0.160817,0.0919357,none
string,8,parquet,104379059,0.33527,0.289544,none
string,8,orc,97094073,0.412166,0.340218,none
int,9,parquet,10858567,0.132656,0.118342,snappy
int,9,orc,13277462,0.209273,0.193328,snappy
float,9,parquet,48512158,0.189743,0.15459,snappy
float,9,orc,87934790,0.759843,0.710539,snappy
string,9,parquet,101147459,0.42254,0.377376,snappy
string,9,orc,96088108,0.457051,0.383139,snappy
int,9,parquet,9564061,0.145045,0.109267,zstd
int,9,orc,10464908,0.167985,0.154539,zstd
float,9,parquet,44909630,0.241342,0.189519,zstd
float,9,orc,77437187,0.351028,0.270945,zstd
string,9,parquet,81438442,0.476178,0.437987,zstd
string,9,orc,73600342,0.526782,0.447418,zstd
int,9,parquet,10846868,0.129423,0.112633,lz4
int,9,orc,16248183,0.194388,0.136261,lz4
float,9,parquet,48822116,0.184567,0.148759,lz4
float,9,orc,147346638,0.173537,0.0963059,lz4
string,9,parquet,102289141,0.408281,0.35602,lz4
string,9,orc,97105402,0.412767,0.354234,lz4
int,9,parquet,12681003,0.122488,0.114953,none
int,9,orc,16240763,0.14699,0.130671,none
float,9,parquet,49772320,0.168921,0.119867,none
float,9,orc,147332204,0.151423,0.0922672,none
string,9,parquet,104379059,0.344269,0.288235,none
string,9,orc,97094073,0.415428,0.335696,none
