type,feature,param,file,size
int,zipf,0.01,parquet,12910295
int,zipf,0.01,orc,17362871
int,zipf,0.2,parquet,12662488
int,zipf,0.2,orc,16898571
int,zipf,0.4,parquet,12628334
int,zipf,0.4,orc,16726443
int,zipf,0.6,parquet,12727848
int,zipf,0.6,orc,16795667
int,zipf,0.8,parquet,12707003
int,zipf,0.8,orc,16740092
int,zipf,1.0,parquet,12654518
int,zipf,1.0,orc,16589549
int,zipf,1.2,parquet,12502741
int,zipf,1.2,orc,15243047
int,zipf,1.4,parquet,11831587
int,zipf,1.4,orc,14488899
int,zipf,1.6,parquet,11272648
int,zipf,1.6,orc,14393783
int,zipf,1.8,parquet,10632105
int,zipf,1.8,orc,14630758
int,zipf,2.0,parquet,10262055
int,zipf,2.0,orc,14819225
float,zipf,0.01,parquet,66877372
float,zipf,0.01,orc,148856917
float,zipf,0.2,parquet,66547595
float,zipf,0.2,orc,148879676
float,zipf,0.4,parquet,65674459
float,zipf,0.4,orc,148853944
float,zipf,0.6,parquet,61866551
float,zipf,0.6,orc,148856834
float,zipf,0.8,parquet,53899007
float,zipf,0.8,orc,148876320
float,zipf,1.0,parquet,41128436
float,zipf,1.0,orc,148888648
float,zipf,1.2,parquet,32946334
float,zipf,1.2,orc,148855619
float,zipf,1.4,parquet,28695302
float,zipf,1.4,orc,148857153
float,zipf,1.6,parquet,25989688
float,zipf,1.6,orc,148856009
float,zipf,1.8,parquet,24157564
float,zipf,1.8,orc,148856176
float,zipf,2.0,parquet,23121759
float,zipf,2.0,orc,148853797
string,zipf,0.01,parquet,151090122
string,zipf,0.01,orc,139542444
string,zipf,0.2,parquet,164319613
string,zipf,0.2,orc,151897669
string,zipf,0.4,parquet,163528928
string,zipf,0.4,orc,150497503
string,zipf,0.6,parquet,149884103
string,zipf,0.6,orc,137972588
string,zipf,0.8,parquet,103501068
string,zipf,0.8,orc,96811501
string,zipf,1.0,parquet,58590869
string,zipf,1.0,orc,56848467
string,zipf,1.2,parquet,32573863
string,zipf,1.2,orc,29440558
string,zipf,1.4,parquet,22746922
string,zipf,1.4,orc,21545132
string,zipf,1.6,parquet,18623384
string,zipf,1.6,orc,18827823
string,zipf,1.8,parquet,16448813
string,zipf,1.8,orc,17661073
string,zipf,2.0,parquet,15056289
string,zipf,2.0,orc,16877164
