workload,i,file,size,read_time
core,0,parquet,28708574,0.167105
core,0,orc,35764878,0.286799
geo,0,parquet,111845979,0.29842
geo,0,orc,104169931,0.311529
classic,0,parquet,198621945,0.434554
classic,0,orc,188042655,0.596517
log,0,parquet,17904976,0.13198
log,0,orc,24526700,0.252867
ml,0,parquet,78419155,0.233285
ml,0,orc,100442290,0.527377
bi,0,parquet,21524688,0.138639
bi,0,orc,23784792,0.244469
core,1,parquet,28708574,0.165861
core,1,orc,35764878,0.284709
geo,1,parquet,111845979,0.29568
geo,1,orc,104169931,0.312657
classic,1,parquet,198621945,0.441275
classic,1,orc,188042655,0.576663
log,1,parquet,17904976,0.131862
log,1,orc,24526700,0.259803
ml,1,parquet,78419155,0.227577
ml,1,orc,100442290,0.529587
bi,1,parquet,21524688,0.226038
bi,1,orc,23784792,0.255522
core,2,parquet,28708574,0.200028
core,2,orc,35764878,0.28578
geo,2,parquet,111845979,0.302846
geo,2,orc,104169931,0.314128
classic,2,parquet,198621945,0.43741
classic,2,orc,188042655,0.564168
log,2,parquet,17904976,0.155494
log,2,orc,24526700,0.264577
ml,2,parquet,78419155,0.243123
ml,2,orc,100442290,0.527561
bi,2,parquet,21524688,0.134782
bi,2,orc,23784792,0.224661
core,3,parquet,28708574,0.159244
core,3,orc,35764878,0.312807
geo,3,parquet,111845979,0.298086
geo,3,orc,104169931,0.33845
classic,3,parquet,198621945,0.439971
classic,3,orc,188042655,0.571713
log,3,parquet,17904976,0.133292
log,3,orc,24526700,0.26657
ml,3,parquet,78419155,0.230809
ml,3,orc,100442290,0.550747
bi,3,parquet,21524688,0.133202
bi,3,orc,23784792,0.223524
core,4,parquet,28708574,0.154214
core,4,orc,35764878,0.300995
geo,4,parquet,111845979,0.309323
geo,4,orc,104169931,0.3183
classic,4,parquet,198621945,0.443072
classic,4,orc,188042655,0.565507
log,4,parquet,17904976,0.143531
log,4,orc,24526700,0.282614
ml,4,parquet,78419155,0.231804
ml,4,orc,100442290,0.529054
bi,4,parquet,21524688,0.141163
bi,4,orc,23784792,0.223662
core,5,parquet,28708574,0.155789
core,5,orc,35764878,0.28513
geo,5,parquet,111845979,0.304182
geo,5,orc,104169931,0.318644
classic,5,parquet,198621945,0.450585
classic,5,orc,188042655,0.576687
log,5,parquet,17904976,0.131009
log,5,orc,24526700,0.253111
ml,5,parquet,78419155,0.235926
ml,5,orc,100442290,0.531039
bi,5,parquet,21524688,0.132494
bi,5,orc,23784792,0.223127
core,6,parquet,28708574,0.156627
core,6,orc,35764878,0.2847
geo,6,parquet,111845979,0.32936
geo,6,orc,104169931,0.318969
classic,6,parquet,198621945,0.457906
classic,6,orc,188042655,0.570279
log,6,parquet,17904976,0.131487
log,6,orc,24526700,0.257662
ml,6,parquet,78419155,0.235256
ml,6,orc,100442290,0.578989
bi,6,parquet,21524688,0.135105
bi,6,orc,23784792,0.22407
core,7,parquet,28708574,0.178994
core,7,orc,35764878,0.330787
geo,7,parquet,111845979,0.355405
geo,7,orc,104169931,0.382237
classic,7,parquet,198621945,0.506468
classic,7,orc,188042655,0.577481
log,7,parquet,17904976,0.153766
log,7,orc,24526700,0.28968
ml,7,parquet,78419155,0.236541
ml,7,orc,100442290,0.542064
bi,7,parquet,21524688,0.134848
bi,7,orc,23784792,0.222388
core,8,parquet,28708574,0.162214
core,8,orc,35764878,0.286195
geo,8,parquet,111845979,0.317416
geo,8,orc,104169931,0.314554
classic,8,parquet,198621945,0.45146
classic,8,orc,188042655,0.574312
log,8,parquet,17904976,0.148596
log,8,orc,24526700,0.254381
ml,8,parquet,78419155,0.229669
ml,8,orc,100442290,0.528381
bi,8,parquet,21524688,0.132839
bi,8,orc,23784792,0.222358
core,9,parquet,28708574,0.158774
core,9,orc,35764878,0.281928
geo,9,parquet,111845979,0.296367
geo,9,orc,104169931,0.315528
classic,9,parquet,198621945,0.4373
classic,9,orc,188042655,0.575258
log,9,parquet,17904976,0.138969
log,9,orc,24526700,0.277081
ml,9,parquet,78419155,0.228121
ml,9,orc,100442290,0.532287
bi,9,parquet,21524688,0.134501
bi,9,orc,23784792,0.222909
